file,event_id,event_start,event_end,attack_identifier,target_tags,subsystem_root,variable_roots,attack_type,source,label_status
SWAT_A1A2_Physical_v1.csv,1,1754,2694,1,MV101,P1,MV101,Open MV-101,List_of_attacks_Final.xlsx: attack #1,verified
SWAT_A1A2_Physical_v1.csv,2,3068,3511,2,P102,P1,P102,Turn on P-102,List_of_attacks_Final.xlsx: attack #2,verified
SWAT_A1A2_Physical_v1.csv,3,4920,5303,3,LIT101,P1,LIT101,Increase by 1 mm every second,List_of_attacks_Final.xlsx: attack #3,verified
SWAT_A1A2_Physical_v1.csv,4,6459,6849,4,MV504,P5,,Open MV-504,List_of_attacks_Final.xlsx: attack #4,verified
SWAT_A1A2_Physical_v1.csv,5,7255,7451,6,AIT202,P2,AIT202,Set value of AIT-202  as 6,List_of_attacks_Final.xlsx: attack #6,verified
SWAT_A1A2_Physical_v1.csv,6,7705,8134,7,LIT301,P3,LIT301,Water level increased above HH,List_of_attacks_Final.xlsx: attack #7,verified
SWAT_A1A2_Physical_v1.csv,7,11410,12374,8,DPIT301,P3,DPIT301,Set value of DPIT as >40kpa,List_of_attacks_Final.xlsx: attack #8,verified
SWAT_A1A2_Physical_v1.csv,8,15380,16101,10;11,FIT401,P4,FIT401,Set value of FIT-401 as <0.7 | Set value of FIT-401 as 0,List_of_attacks_Final.xlsx: attack #10;11,verified
SWAT_A1A2_Physical_v1.csv,9,73800,74521,,,,,,no overlapping physical row in List_of_attacks_Final.xlsx,needs_review
SWAT_A1A2_Physical_v1.csv,10,90685,90918,13,MV304,P3,MV304,Close MV-304,List_of_attacks_Final.xlsx: attack #13,verified
SWAT_A1A2_Physical_v1.csv,11,92140,92571,14,MV303,P3,MV303,Do not let MV-303 open,List_of_attacks_Final.xlsx: attack #14,verified
SWAT_A1A2_Physical_v1.csv,12,93445,93721,16,LIT301,P3,LIT301,Decrease water level by 1mm each second,List_of_attacks_Final.xlsx: attack #16,verified
SWAT_A1A2_Physical_v1.csv,13,103092,103809,17,MV303,P3,MV303,Do not let MV-303 open,List_of_attacks_Final.xlsx: attack #17,verified
SWAT_A1A2_Physical_v1.csv,14,115843,116102,19,AIT504,P5,AIT504,Set value of AIT-504 to 16 uS/cm,List_of_attacks_Final.xlsx: attack #19,verified
SWAT_A1A2_Physical_v1.csv,15,116143,116538,20,AIT504,P5,AIT504,Set value of AIT-504 to 255 uS/cm,List_of_attacks_Final.xlsx: attack #20,verified
SWAT_A1A2_Physical_v1.csv,16,117000,117721,21,LIT101;MV101,P1,LIT101;MV101,Keep MV-101 on countinuosly; Value of LIT-101 set as 700 mm,List_of_attacks_Final.xlsx: attack #21,verified
SWAT_A1A2_Physical_v1.csv,17,132918,133381,22,AIT502;P501;UV401,P4;P5,AIT502;P501;UV401,Stop UV-401; Value of AIT502 set as 150; Force P-501 to remain on,List_of_attacks_Final.xlsx: attack #22,verified
SWAT_A1A2_Physical_v1.csv,18,142954,143651,23,DPIT301;MV302;P602,P3;P6,DPIT301;MV302;P602,Value of DPIT-301 set to >0.4 bar; Keep MV-302 open; Keep P-602 closed,List_of_attacks_Final.xlsx: attack #23,verified
SWAT_A1A2_Physical_v1.csv,19,172305,172589,24,P203;P205,P2,P203;P205,Turn of P-203 and P-205,List_of_attacks_Final.xlsx: attack #24,verified
SWAT_A1A2_Physical_v1.csv,20,172910,173522,25,LIT401;P401,P4,LIT401;P401,Set value of LIT-401 as 1000; P402 is kept on,List_of_attacks_Final.xlsx: attack #25,verified
SWAT_A1A2_Physical_v1.csv,21,198296,199741,26,LIT301;P101,P1;P3,LIT301;P101,P-101 is turned on continuosly; Set value of LIT-301 as 801 mm,List_of_attacks_Final.xlsx: attack #26,verified
SWAT_A1A2_Physical_v1.csv,22,227828,263728,27;28,LIT401;P302,P3;P4,LIT401;P302,Keep P-302 on contineoulsy; Value of  LIT401 set as 600 mm till 1:26:01 | Close P-302,List_of_attacks_Final.xlsx: attack #27;28,verified
SWAT_A1A2_Physical_v1.csv,23,279120,279241,29,P201;P203;P205,P2,P201;P203;P205,Turn on P-201; Turn on P-203; Turn on P-205,List_of_attacks_Final.xlsx: attack #29,verified
SWAT_A1A2_Physical_v1.csv,24,280060,281231,30,LIT101;MV201;P101,P1;P2,LIT101;MV201;P101,Turn P-101 on continuously; Turn MV-101 on continuously; Set value of LIT-101 as 700 mm; P-102 started itself because LIT301 level became low,List_of_attacks_Final.xlsx: attack #30,verified
SWAT_A1A2_Physical_v1.csv,25,302653,303020,31,LIT401,P4,LIT401,Set LIT-401 to less than L,List_of_attacks_Final.xlsx: attack #31,verified
SWAT_A1A2_Physical_v1.csv,26,347679,348280,32,LIT301,P3,LIT301,Set LIT-301 to above HH,List_of_attacks_Final.xlsx: attack #32,verified
SWAT_A1A2_Physical_v1.csv,27,361191,361635,33,LIT101,P1,LIT101,Set LIT-101 to above H,List_of_attacks_Final.xlsx: attack #33,verified
SWAT_A1A2_Physical_v1.csv,28,371479,371580,34,P101,P1,P101,Turn P-101 off,List_of_attacks_Final.xlsx: attack #34,verified
SWAT_A1A2_Physical_v1.csv,29,371855,372336,35,P101;P102,P1,P101;P102,Turn P-101 off; Keep P-102 off,List_of_attacks_Final.xlsx: attack #35,verified
SWAT_A1A2_Physical_v1.csv,30,389680,390220,36,LIT101,P1,LIT101,Set LIT-101 to less than LL,List_of_attacks_Final.xlsx: attack #36,verified
SWAT_A1A2_Physical_v1.csv,31,436541,437010,37,FIT502;P501,P5,FIT502;P501,Close P-501; Set value of FIT-502 to 1.29  at 11:18:36,List_of_attacks_Final.xlsx: attack #37,verified
SWAT_A1A2_Physical_v1.csv,32,437417,437698,38,AIT402;AIT502,P4;P5,AIT402;AIT502,Set value of AIT402 as 260; Set value of AIT502 to 260,List_of_attacks_Final.xlsx: attack #38,verified
SWAT_A1A2_Physical_v1.csv,33,438147,438548,39,AIT502;FIT401,P4;P5,AIT502;FIT401,Set value of FIT-401 as 0.5; Set value of AIT-502 as 140 mV,List_of_attacks_Final.xlsx: attack #39,verified
SWAT_A1A2_Physical_v1.csv,34,438621,438918,40,FIT401,P4,FIT401,Set value of FIT-401 as 0,List_of_attacks_Final.xlsx: attack #40,verified
SWAT_A1A2_Physical_v1.csv,35,443501,445191,41,LIT301,P3,LIT301,decrease value by 0.5 mm per second,List_of_attacks_Final.xlsx: attack #41,verified
