file,event_id,event_start,event_end,attack_identifier,target_tags,subsystem_root,variable_roots,attack_type,source,label_status
swat.csv,1,1755,2695,1,MV101,P1,MV101,Open MV-101,List_of_attacks_Final.xlsx: attack #1,verified
swat.csv,2,3069,3512,2,P102,P1,P102,Turn on P-102,List_of_attacks_Final.xlsx: attack #2,verified
swat.csv,3,4921,5304,3,LIT101,P1,LIT101,Increase by 1 mm every second,List_of_attacks_Final.xlsx: attack #3,verified
swat.csv,4,6460,6850,4,MV504,P5,,Open MV-504,List_of_attacks_Final.xlsx: attack #4,verified
swat.csv,5,7256,7452,6,AIT202,P2,AIT202,Set value of AIT-202  as 6,List_of_attacks_Final.xlsx: attack #6,verified
swat.csv,6,7706,8135,7,LIT301,P3,LIT301,Water level increased above HH,List_of_attacks_Final.xlsx: attack #7,verified
swat.csv,7,11411,12375,8,DPIT301,P3,DPIT301,Set value of DPIT as >40kpa,List_of_attacks_Final.xlsx: attack #8,verified
swat.csv,8,15381,16102,10;11,FIT401,P4,FIT401,Set value of FIT-401 as <0.7 | Set value of FIT-401 as 0,List_of_attacks_Final.xlsx: attack #10;11,verified
swat.csv,9,73801,74522,,,,,,no overlapping physical row in List_of_attacks_Final.xlsx,needs_review
swat.csv,10,90686,90919,13,MV304,P3,MV304,Close MV-304,List_of_attacks_Final.xlsx: attack #13,verified
swat.csv,11,92141,92572,14,MV303,P3,MV303,Do not let MV-303 open,List_of_attacks_Final.xlsx: attack #14,verified
swat.csv,12,93446,93722,16,LIT301,P3,LIT301,Decrease water level by 1mm each second,List_of_attacks_Final.xlsx: attack #16,verified
swat.csv,13,103093,103810,17,MV303,P3,MV303,Do not let MV-303 open,List_of_attacks_Final.xlsx: attack #17,verified
swat.csv,14,115844,116103,19,AIT504,P5,AIT504,Set value of AIT-504 to 16 uS/cm,List_of_attacks_Final.xlsx: attack #19,verified
swat.csv,15,116144,116539,20,AIT504,P5,AIT504,Set value of AIT-504 to 255 uS/cm,List_of_attacks_Final.xlsx: attack #20,verified
swat.csv,16,117001,117722,21,LIT101;MV101,P1,LIT101;MV101,Keep MV-101 on countinuosly; Value of LIT-101 set as 700 mm,List_of_attacks_Final.xlsx: attack #21,verified
swat.csv,17,132919,133382,22,AIT502;P501;UV401,P4;P5,AIT502;P501;UV401,Stop UV-401; Value of AIT502 set as 150; Force P-501 to remain on,List_of_attacks_Final.xlsx: attack #22,verified
swat.csv,18,142955,143652,23,DPIT301;MV302;P602,P3;P6,DPIT301;MV302;P602,Value of DPIT-301 set to >0.4 bar; Keep MV-302 open; Keep P-602 closed,List_of_attacks_Final.xlsx: attack #23,verified
swat.csv,19,172269,172590,24,P203;P205,P2,P203;P205,Turn of P-203 and P-205,List_of_attacks_Final.xlsx: attack #24,verified
swat.csv,20,172911,173523,25,LIT401;P401,P4,LIT401;P401,Set value of LIT-401 as 1000; P402 is kept on,List_of_attacks_Final.xlsx: attack #25,verified
swat.csv,21,198297,199742,26,LIT301;P101,P1;P3,LIT301;P101,P-101 is turned on continuosly; Set value of LIT-301 as 801 mm,List_of_attacks_Final.xlsx: attack #26,verified
swat.csv,22,227829,263729,27;28,LIT401;P302,P3;P4,LIT401;P302,Keep P-302 on contineoulsy; Value of  LIT401 set as 600 mm till 1:26:01 | Close P-302,List_of_attacks_Final.xlsx: attack #27;28,verified
swat.csv,23,279121,279242,29,P201;P203;P205,P2,P201;P203;P205,Turn on P-201; Turn on P-203; Turn on P-205,List_of_attacks_Final.xlsx: attack #29,verified
swat.csv,24,280061,281232,30,LIT101;MV201;P101,P1;P2,LIT101;MV201;P101,Turn P-101 on continuously; Turn MV-101 on continuously; Set value of LIT-101 as 700 mm; P-102 started itself because LIT301 level became low,List_of_attacks_Final.xlsx: attack #30,verified
swat.csv,25,302654,303021,31,LIT401,P4,LIT401,Set LIT-401 to less than L,List_of_attacks_Final.xlsx: attack #31,verified
swat.csv,26,347680,348281,32,LIT301,P3,LIT301,Set LIT-301 to above HH,List_of_attacks_Final.xlsx: attack #32,verified
swat.csv,27,361192,361636,33,LIT101,P1,LIT101,Set LIT-101 to above H,List_of_attacks_Final.xlsx: attack #33,verified
swat.csv,28,371480,371581,34,P101,P1,P101,Turn P-101 off,List_of_attacks_Final.xlsx: attack #34,verified
swat.csv,29,371856,372337,35,P101;P102,P1,P101;P102,Turn P-101 off; Keep P-102 off,List_of_attacks_Final.xlsx: attack #35,verified
swat.csv,30,389681,390221,36,LIT101,P1,LIT101,Set LIT-101 to less than LL,List_of_attacks_Final.xlsx: attack #36,verified
swat.csv,31,436542,437011,37,FIT502;P501,P5,FIT502;P501,Close P-501; Set value of FIT-502 to 1.29  at 11:18:36,List_of_attacks_Final.xlsx: attack #37,verified
swat.csv,32,437418,437699,38,AIT402;AIT502,P4;P5,AIT402;AIT502,Set value of AIT402 as 260; Set value of AIT502 to 260,List_of_attacks_Final.xlsx: attack #38,verified
swat.csv,33,438148,438549,39,AIT502;FIT401,P4;P5,AIT502;FIT401,Set value of FIT-401 as 0.5; Set value of AIT-502 as 140 mV,List_of_attacks_Final.xlsx: attack #39,verified
swat.csv,34,438622,438919,40,FIT401,P4,FIT401,Set value of FIT-401 as 0,List_of_attacks_Final.xlsx: attack #40,verified
swat.csv,35,443502,445192,41,LIT301,P3,LIT301,decrease value by 0.5 mm per second,List_of_attacks_Final.xlsx: attack #41,verified
