tag,stage,source
AIT201,P2,tag numeric prefix heuristic; verify against SWaT process documentation
AIT202,P2,tag numeric prefix heuristic; verify against SWaT process documentation
AIT203,P2,tag numeric prefix heuristic; verify against SWaT process documentation
AIT401,P4,tag numeric prefix heuristic; verify against SWaT process documentation
AIT402,P4,tag numeric prefix heuristic; verify against SWaT process documentation
AIT501,P5,tag numeric prefix heuristic; verify against SWaT process documentation
AIT502,P5,tag numeric prefix heuristic; verify against SWaT process documentation
AIT503,P5,tag numeric prefix heuristic; verify against SWaT process documentation
AIT504,P5,tag numeric prefix heuristic; verify against SWaT process documentation
DPIT301,P3,tag numeric prefix heuristic; verify against SWaT process documentation
FIT101,P1,tag numeric prefix heuristic; verify against SWaT process documentation
FIT201,P2,tag numeric prefix heuristic; verify against SWaT process documentation
FIT301,P3,tag numeric prefix heuristic; verify against SWaT process documentation
FIT401,P4,tag numeric prefix heuristic; verify against SWaT process documentation
FIT501,P5,tag numeric prefix heuristic; verify against SWaT process documentation
FIT502,P5,tag numeric prefix heuristic; verify against SWaT process documentation
FIT503,P5,tag numeric prefix heuristic; verify against SWaT process documentation
FIT504,P5,tag numeric prefix heuristic; verify against SWaT process documentation
FIT601,P6,tag numeric prefix heuristic; verify against SWaT process documentation
LIT101,P1,tag numeric prefix heuristic; verify against SWaT process documentation
LIT301,P3,tag numeric prefix heuristic; verify against SWaT process documentation
LIT401,P4,tag numeric prefix heuristic; verify against SWaT process documentation
MV101,P1,tag numeric prefix heuristic; verify against SWaT process documentation
MV201,P2,tag numeric prefix heuristic; verify against SWaT process documentation
MV301,P3,tag numeric prefix heuristic; verify against SWaT process documentation
MV302,P3,tag numeric prefix heuristic; verify against SWaT process documentation
MV303,P3,tag numeric prefix heuristic; verify against SWaT process documentation
MV304,P3,tag numeric prefix heuristic; verify against SWaT process documentation
P101,P1,tag numeric prefix heuristic; verify against SWaT process documentation
P102,P1,tag numeric prefix heuristic; verify against SWaT process documentation
P201,P2,tag numeric prefix heuristic; verify against SWaT process documentation
P202,P2,tag numeric prefix heuristic; verify against SWaT process documentation
P203,P2,tag numeric prefix heuristic; verify against SWaT process documentation
P204,P2,tag numeric prefix heuristic; verify against SWaT process documentation
P205,P2,tag numeric prefix heuristic; verify against SWaT process documentation
P206,P2,tag numeric prefix heuristic; verify against SWaT process documentation
P301,P3,tag numeric prefix heuristic; verify against SWaT process documentation
P302,P3,tag numeric prefix heuristic; verify against SWaT process documentation
P401,P4,tag numeric prefix heuristic; verify against SWaT process documentation
P402,P4,tag numeric prefix heuristic; verify against SWaT process documentation
P403,P4,tag numeric prefix heuristic; verify against SWaT process documentation
P404,P4,tag numeric prefix heuristic; verify against SWaT process documentation
P501,P5,tag numeric prefix heuristic; verify against SWaT process documentation
P502,P5,tag numeric prefix heuristic; verify against SWaT process documentation
P601,P6,tag numeric prefix heuristic; verify against SWaT process documentation
P602,P6,tag numeric prefix heuristic; verify against SWaT process documentation
P603,P6,tag numeric prefix heuristic; verify against SWaT process documentation
PIT501,P5,tag numeric prefix heuristic; verify against SWaT process documentation
PIT502,P5,tag numeric prefix heuristic; verify against SWaT process documentation
PIT503,P5,tag numeric prefix heuristic; verify against SWaT process documentation
UV401,P4,tag numeric prefix heuristic; verify against SWaT process documentation
