dataset,file,event_id,event_start,event_end,subsystem_root,variable_roots,granularity,task,time_index,source
HAI_21_03_test1,HAI_21_03_test1.csv,1,2111,2303,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test1.json
HAI_21_03_test1,HAI_21_03_test1.csv,2,8891,8989,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test1.json
HAI_21_03_test1,HAI_21_03_test1.csv,3,14351,14541,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test1.json
HAI_21_03_test1,HAI_21_03_test1.csv,4,19266,19326,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test1.json
HAI_21_03_test1,HAI_21_03_test1.csv,5,21801,21890,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test1.json
HAI_21_03_test2,HAI_21_03_test2.csv,1,2820,2903,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,2,9480,9902,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,3,14346,14363,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,4,18600,18859,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,5,22500,22623,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,6,28920,29176,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,7,36480,36548,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,8,37981,38242,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
